name,logfc,adjpval,avgexp,color,location,hovinfo,pointsize,opaq
basS,0.61065488020532,0.190328325017117,5.58428640366451,black,0,none,1.30040709135098,0.4
yoaB,-0.547420981868615,0.146893941424343,7.10278166518163,black,0,none,2.35210930015678,0.4
pdhR,-0.733126747820261,0.197619676045661,5.73167308960158,black,0,none,1.37612777094315,0.4
tfaX,0.99575416392239,0.285287580237917,1.7758673630045,black,0,none,0.32682958970987,0.4
yjjP,0.874159621463404,0.249033811679065,3.93499961312852,black,0,none,0.700631996809403,0.4
sfmC,0.912590976595934,0.283208222836947,2.34611132441088,black,0,none,0.397431131399373,0.4
yegK,0.912590976595934,0.283208222836947,2.34611132441088,black,0,none,0.397431131399373,0.4
ompG,1.3376034199048,0.283804373483072,2.39436242727671,black,0,none,0.404145034004803,0.4
pncB,-0.485405861275608,0.134198626243414,7.58188598072334,black,0,none,2.84757903753036,0.4
ycbU,0.923196526106763,0.283934175948567,2.34611132441088,black,0,none,0.397431131399373,0.4
malE,-1.17457078226699,0.167312472816773,6.84864677287704,black,0,none,2.12697658392446,0.4
ppsR,0.478443089623493,0.129466638731449,7.46623154320619,black,0,none,2.71868958027948,0.4
mlc,-0.597948174997397,0.147084329464625,7.19889566440891,black,0,none,2.44368453881972,0.4
yoeF,0.935829029006484,0.283208222836947,2.59176652246629,black,0,none,0.432952904912545,0.4
ilvI,0.750329040488015,0.18950404391297,5.67820547895015,black,0,none,1.34812967568912,0.4
rbfA,-0.795433654250434,0.192506990838367,6.04346991776668,black,0,none,1.55220719304593,0.4
yafP,0.910474861023463,0.274081592073616,3.12641533107317,black,0,none,0.523017527128159,0.4
hybD,0.644017397469241,0.20509002117084,5.32781225850802,black,0,none,1.17902765218155,0.4
nrdF,-0.876354197963498,0.25399658268305,3.50127800767998,black,0,none,0.598369695028188,0.4
yjiJ,0.781570130471603,0.227538301966459,4.73936860468001,black,0,none,0.943966263896233,0.4
uhpC,0.85002574869477,0.225494648621216,4.80479647442587,black,0,none,0.967427126967027,0.4
alsC,0.882506830879412,0.277791419495782,3.13859257477146,black,0,none,0.525295353472629,0.4
intZ,-0.649622675929738,0.210161422623799,5.55700552744977,black,0,none,1.28688468881637,0.4
mtgA,0.508242945026264,0.156200142731885,6.65988710538354,black,0,none,1.97453558249941,0.4
fsaA,0.775326711645014,0.217632553868049,5.06803287531841,black,0,none,1.06833125631939,0.4
matP,-0.713481046281258,0.201455408595362,5.89251826292384,black,0,none,1.46414660362615,0.4
csgA,0.846952057474208,0.232636247864923,4.69230198289655,black,0,none,0.92746734731681,0.4
yiaN,0.920299937739904,0.294428294702553,2.34611132441088,black,0,none,0.397431131399373,0.4
ppdC,1.24665843208847,0.29705967689967,2.18887524580528,black,0,none,0.376398114060918,0.4
