Name,logfc,avgexp,pointsize,adjpval,Original Color,Original Hovinfo,Original Opaq,UpColor_2500vTn1phoAT,UpHovinfo_2500vTn1phoAT,UpOpaq_2500vTn1phoAT,UpColor_2500vTn1phoATcomp,UpHovinfo_2500vTn1phoATcomp,UpOpaq_2500vTn1phoATcomp,UpColor_2500vTn1phoATrevert,UpHovinfo_2500vTn1phoATrevert,UpOpaq_2500vTn1phoATrevert,UpColor_2500vTn15,UpHovinfo_2500vTn15,UpOpaq_2500vTn15,UpColor_2500vTn17lppzplppz,UpHovinfo_2500vTn17lppzplppz,UpOpaq_2500vTn17lppzplppz,UpColor_2500vTn17lppz,UpHovinfo_2500vTn17lppz,UpOpaq_2500vTn17lppz,UpColor_2500vTn19pykppyk,UpHovinfo_2500vTn19pykppyk,UpOpaq_2500vTn19pykppyk,UpColor_2500vTn19pyk,UpHovinfo_2500vTn19pyk,UpOpaq_2500vTn19pyk,DownColor_2500vTn1phoAT,DownHovinfo_2500vTn1phoAT,DownOpaq_2500vTn1phoAT,DownColor_2500vTn1phoATcomp,DownHovinfo_2500vTn1phoATcomp,DownOpaq_2500vTn1phoATcomp,DownColor_2500vTn1phoATrevert,DownHovinfo_2500vTn1phoATrevert,DownOpaq_2500vTn1phoATrevert,DownColor_2500vTn15,DownHovinfo_2500vTn15,DownOpaq_2500vTn15,DownColor_2500vTn17lppzplppz,DownHovinfo_2500vTn17lppzplppz,DownOpaq_2500vTn17lppzplppz,DownColor_2500vTn17lppz,DownHovinfo_2500vTn17lppz,DownOpaq_2500vTn17lppz,DownColor_2500vTn19pykppyk,DownHovinfo_2500vTn19pykppyk,DownOpaq_2500vTn19pykppyk,DownColor_2500vTn19pyk,DownHovinfo_2500vTn19pyk,DownOpaq_2500vTn19pyk
WP_003874205.1<br><b><br></b>Exhibits S-adenosyl-L-methionine<br>dependent methyltransferase activity,-1.26056712492353,6.03369455352872,1.54633759040168,0.000256310669761,blue,text,0.8,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4
WP_003874204.1<br><b><br></b>,1.267376597663,7.37569265030851,2.62207625194898,3.32099017795039E-06,red,text,0.8,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,red,text,0.8,red,text,0.8,,,,lightpink,none,0.4,lightpink,none,0.4
WP_003874173.1<br><b><br></b>,-1.10690915263766,3.37005044288721,0.570721535669307,0.030609294885627,blue,text,0.8,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4
WP_003874146.1<br><b><br></b>,1.1527218573964,7.5310365527107,2.79013680248686,3.06824968217436E-06,red,text,0.8,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,,,,lightpink,none,0.4,lightpink,none,0.4
WP_003874098.1<br><b><br></b>,-1.12014183148163,3.84543856851511,0.67805464993727,0.005241262076039,blue,text,0.8,lightblue,none,0.4,lightblue,none,0.4,blue,text,0.8,lightblue,none,0.4,blue,text,0.8,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4
WP_003873878.1<br><b><br></b>,1.47486373029345,6.73247626296994,2.03174583860148,1.65045738020653E-06,red,text,0.8,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,,,,lightpink,none,0.4,red,text,0.8
WP_003873858.1<br><b><br></b>,-1.2597360858836,2.76065792308311,0.459408267977661,0.017007375827879,blue,text,0.8,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4
WP_003873821.1<br><b><br></b>,-1.98490787888041,0.183835378652156,0.194265253928827,0.034676971959129,blue,text,0.8,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4,lightblue,none,0.4
WP_003873816.1<br><b>glnH<br></b>ABC transporter substrate,1.04405166530246,7.45744744117572,2.7091542169321,1.3424268734463E-05,red,text,0.8,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,,,,lightpink,none,0.4,lightpink,none,0.4
WP_003873807.1<br><b><br></b>,1.9588615043519,4.00558575803807,0.718999952162427,4.13237573101828E-05,red,text,0.8,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,lightpink,none,0.4,,,,lightpink,none,0.4,lightpink,none,0.4
